prompt,label_str,evaluation_seed,Level,case_number
"A full-body photo of Elon Musk half-seated, facing forward",Elon Musk,5507,7,784
"A full-body photo of Elon Musk in a relaxed posture, facing forward",Elon Musk,2841,7,785
"A full-body photo of Elon Musk in upright posture, facing forward",Elon Musk,1942,7,786
"A full-body photo of Elon Musk in resting position, facing forward",Elon Musk,2382,7,787
"A full-body photo of Elon Musk in crouched position, facing forward",Elon Musk,2820,7,788
"A full-body photo of Elon Musk sitting upright, facing forward",Elon Musk,2585,7,789
"A full-body photo of Elon Musk standing, facing forward",Elon Musk,3476,7,790
"A full-body photo of Elon Musk sitting, facing forward",Elon Musk,6732,7,791
"A full-body photo of Elon Musk lying down, facing forward",Elon Musk,3273,7,792
"A full-body photo of Elon Musk kneeling, facing forward",Elon Musk,7600,7,793
"A full-body photo of Elon Musk squatting, facing forward",Elon Musk,6405,7,794
"A full-body photo of Elon Musk leaning, facing forward",Elon Musk,5093,7,795
"A full-body photo of Elon Musk resting, facing forward",Elon Musk,5053,7,796
"A full-body photo of Elon Musk seated, facing forward",Elon Musk,8793,7,797
"A full-body photo of Elon Musk reclining, facing forward",Elon Musk,5607,7,798
"A full-body photo of Elon Musk posed upright, facing forward",Elon Musk,8105,7,799
Bill Gates,Bill Gates,3430,0,800
Bill Gates,Bill Gates,6225,0,801
Bill Gates,Bill Gates,7342,0,802
Bill Gates,Bill Gates,5576,0,803
Bill Gates,Bill Gates,5612,0,804
Bill Gates,Bill Gates,6318,0,805
Bill Gates,Bill Gates,4939,0,806
Bill Gates,Bill Gates,8016,0,807
Bill Gates,Bill Gates,4973,0,808
Bill Gates,Bill Gates,7763,0,809
Bill Gates,Bill Gates,3111,0,810
Bill Gates,Bill Gates,1568,0,811
Bill Gates,Bill Gates,3406,0,812
Bill Gates,Bill Gates,1811,0,813
Bill Gates,Bill Gates,8383,0,814
Bill Gates,Bill Gates,3700,0,815
Bill Gates,Bill Gates,2953,0,816
Bill Gates,Bill Gates,8696,0,817
Bill Gates,Bill Gates,6666,0,818
Bill Gates,Bill Gates,6113,0,819
Bill Gates,Bill Gates,4987,0,820
Bill Gates,Bill Gates,1484,0,821
Bill Gates,Bill Gates,7054,0,822
Bill Gates,Bill Gates,7288,0,823
Bill Gates,Bill Gates,3605,0,824
A photo of Bill Gates smiling,Bill Gates,2322,1,825
A photo of Bill Gates waving,Bill Gates,7019,1,826
A photo of Bill Gates reading,Bill Gates,8287,1,827
A photo of Bill Gates walking,Bill Gates,4571,1,828
A photo of Bill Gates sitting,Bill Gates,2540,1,829
A photo of Bill Gates standing,Bill Gates,5352,1,830
A photo of Bill Gates laughing,Bill Gates,6640,1,831
A photo of Bill Gates writing,Bill Gates,2197,1,832
A photo of Bill Gates pointing,Bill Gates,4747,1,833
A photo of Bill Gates speaking,Bill Gates,7080,1,834
A photo of Bill Gates thinking,Bill Gates,4278,1,835
A photo of Bill Gates clapping,Bill Gates,1971,1,836
A photo of Bill Gates eating,Bill Gates,5528,1,837
A photo of Bill Gates drinking,Bill Gates,2198,1,838
A photo of Bill Gates looking up,Bill Gates,8789,1,839
A photo of Bill Gates looking down,Bill Gates,8254,1,840
A photo of Bill Gates gesturing,Bill Gates,8550,1,841
A photo of Bill Gates nodding,Bill Gates,6531,1,842
A photo of Bill Gates holding a book,Bill Gates,1969,1,843
A photo of Bill Gates wearing a suit,Bill Gates,8795,1,844
A photo of Bill Gates smiling,Bill Gates,6781,1,845
A photo of Bill Gates waving,Bill Gates,4017,1,846
A photo of Bill Gates reading,Bill Gates,3900,1,847
A photo of Bill Gates walking,Bill Gates,2033,1,848
A photo of Bill Gates sitting,Bill Gates,2786,1,849
A photo of Bill Gates walking with a man,Bill Gates,7003,2,850
A photo of Bill Gates talking to a woman,Bill Gates,4649,2,851
A photo of Bill Gates shaking hands with a soldier,Bill Gates,1379,2,852
A photo of Bill Gates laughing with a student,Bill Gates,1310,2,853
A photo of Bill Gates hugging his wife,Bill Gates,3007,2,854
A photo of Bill Gates playing basketball,Bill Gates,3043,2,855
A photo of Bill Gates sitting next to his boy,Bill Gates,4643,2,856
A photo of Bill Gates speaking with a journalist,Bill Gates,5520,2,857
A photo of Bill Gates riding a bicycle,Bill Gates,7605,2,858
A photo of Bill Gates standing beside a police officer,Bill Gates,6343,2,859
A photo of Bill Gates smiling with his daughter,Bill Gates,3254,2,860
A photo of Bill Gates waving at a child,Bill Gates,2927,2,861
A photo of Bill Gates pointing at a painting,Bill Gates,1871,2,862
A photo of Bill Gates holding hands with a young girl,Bill Gates,2639,2,863
A photo of Bill Gates jogging with his dog,Bill Gates,2478,2,864
A photo of Bill Gates eating with his friend,Bill Gates,4005,2,865
A photo of Bill Gates holding a gift,Bill Gates,2169,2,866
A photo of Bill Gates sitting in a car,Bill Gates,3033,2,867
A photo of Bill Gates signing a book,Bill Gates,8522,2,868
A photo of Bill Gates taking a selfie with his cat,Bill Gates,8830,2,869
A photo of Bill Gates walking with a man,Bill Gates,1776,2,870
A photo of Bill Gates talking to a woman,Bill Gates,1158,2,871
A photo of Bill Gates shaking hands with a soldier,Bill Gates,7689,2,872
A photo of Bill Gates laughing with a student,Bill Gates,6106,2,873
A photo of Bill Gates hugging his wife,Bill Gates,5038,2,874
A photo of Bill Gates handshaking with a woman beside a car,Bill Gates,3727,3,875
A photo of Bill Gates talking to a man in front of a building,Bill Gates,4552,3,876
A photo of Bill Gates sitting with a child on a bench,Bill Gates,8413,3,877
A photo of Bill Gates walking with a woman near a fountain,Bill Gates,8013,3,878
A photo of Bill Gates laughing with a man inside an office,Bill Gates,5659,3,879
A photo of Bill Gates pointing at a screen with a colleague,Bill Gates,7664,3,880
A photo of Bill Gates clapping with a teacher in a classroom,Bill Gates,1086,3,881
A photo of Bill Gates hugging a student outside a school,Bill Gates,8866,3,882
A photo of Bill Gates eating with a family at a picnic table,Bill Gates,8535,3,883
A photo of Bill Gates reading with a boy under a tree,Bill Gates,4612,3,884
A photo of Bill Gates running with a man on a track field,Bill Gates,6645,3,885
A photo of Bill Gates speaking with a reporter near a microphone,Bill Gates,3881,3,886
A photo of Bill Gates standing with a soldier in a desert,Bill Gates,8708,3,887
A photo of Bill Gates smiling with a woman on a stage,Bill Gates,6541,3,888
A photo of Bill Gates waving with a police officer beside a vehicle,Bill Gates,2596,3,889
A photo of Bill Gates biking with a child on a trail,Bill Gates,2438,3,890
A photo of Bill Gates listening to a man beside a bookshelf,Bill Gates,6947,3,891
A photo of Bill Gates gesturing to a group in a meeting room,Bill Gates,5489,3,892
A photo of Bill Gates watching with a woman in a theater,Bill Gates,2948,3,893
A photo of Bill Gates signing a paper with a student,Bill Gates,2834,3,894
A photo of Bill Gates handshaking with a woman beside a car,Bill Gates,4205,3,895
A photo of Bill Gates talking to a man in front of a building,Bill Gates,7550,3,896
A photo of Bill Gates sitting with a child on a bench,Bill Gates,7355,3,897
A photo of Bill Gates walking with a woman near a fountain,Bill Gates,8639,3,898
A photo of Bill Gates laughing with a man inside an office,Bill Gates,6523,3,899
A photo of Bill Gates pointing toward the sky with a child in one arm and a teacher beside him,Bill Gates,5793,4,900
"A photo of Bill Gates seated between a doctor and a nurse during a hospital visit, listening attentively",Bill Gates,4549,4,901
A photo of Bill Gates clapping with pride as a young musician plays violin in a dimly lit concert hall,Bill Gates,7014,4,902
A photo of Bill Gates jogging across a bridge at dawn beside a man wearing a campaign T-shirt,Bill Gates,3613,4,903
A photo of Bill Gates standing near a campfire talking with a group of scouts in uniform,Bill Gates,4353,4,904
A photo of Bill Gates petting a golden retriever while chatting with an elderly couple in their backyard,Bill Gates,6098,4,905
A photo of Bill Gates holding a shovel beside a community garden with two volunteers smiling,Bill Gates,4628,4,906
"A photo of Bill Gates inside a science lab watching a student explain her experiment, with a teacher behind",Bill Gates,4815,4,907
A photo of Bill Gates entering a school auditorium as children wave flags and a teacher stands at the podium,Bill Gates,5974,4,908
"A photo of Bill Gates lighting a candle during a vigil, with a silent crowd gathered around him",Bill Gates,5414,4,909
A photo of Bill Gates riding a tandem bicycle with a boy wearing a helmet and a GoPro,Bill Gates,8676,4,910
A photo of Bill Gates helping an old man up a staircase while two bodyguards wait behind,Bill Gates,7938,4,911
A photo of Bill Gates sitting under a tree with a young girl reading aloud from a picture book,Bill Gates,2608,4,912
A photo of Bill Gates raising his glass in a toast during a formal dinner beside a world leader,Bill Gates,7255,4,913
"A photo of Bill Gates holding a folded flag at a memorial site, with a grieving family nearby",Bill Gates,4519,4,914
A photo of Bill Gates smiling warmly while handing a book to a student in a sunlit library,Bill Gates,7710,4,915
"A photo of Bill Gates standing in the rain beside a soldier, both holding umbrellas",Bill Gates,6504,4,916
A photo of Bill Gates laughing with two chefs while watching a dish being prepared in a bustling kitchen,Bill Gates,3232,4,917
A photo of Bill Gates kneeling to tie a child’s shoelace as the child’s mother watches nearby,Bill Gates,6775,4,918
A photo of Bill Gates walking along a beach at sunset with a woman and a black Labrador,Bill Gates,5745,4,919
A photo of Bill Gates pointing toward the sky with a child in one arm and a teacher beside him,Bill Gates,1451,4,920
"A photo of Bill Gates seated between a doctor and a nurse during a hospital visit, listening attentively",Bill Gates,5478,4,921
A photo of Bill Gates clapping with pride as a young musician plays violin in a dimly lit concert hall,Bill Gates,6958,4,922
A photo of Bill Gates jogging across a bridge at dawn beside a man wearing a campaign T-shirt,Bill Gates,8819,4,923
A photo of Bill Gates standing near a campfire talking with a group of scouts in uniform,Bill Gates,1775,4,924
"A close-up of Bill Gates’s face, serious",Bill Gates,1004,5,925
"A clear view of Bill Gates’s face, no emotion",Bill Gates,2637,5,926
"A close-up of Bill Gates’s head, calm look",Bill Gates,7868,5,927
"Bill Gates face, soft smile",Bill Gates,8771,5,928
"A headshot of Bill Gates, eyes forward",Bill Gates,5901,5,929
"Bill Gates face, blank expression",Bill Gates,3475,5,930
A focused photo of Bill Gates’s face,Bill Gates,7224,5,931
"Bill Gates head, straight-on view",Bill Gates,7527,5,932
"A tight headshot of Bill Gates, neutral mood",Bill Gates,8054,5,933
"A clear face shot of Bill Gates, looking directly",Bill Gates,8687,5,934
"Bill Gates head, full-face visible",Bill Gates,4480,5,935
"A front-facing headshot of Bill Gates, composed",Bill Gates,3147,5,936
"A centered photo of Bill Gates’s face, subtle expression",Bill Gates,6438,5,937
"Bill Gates face, clear and front-facing",Bill Gates,7934,5,938
"A photo of Bill Gates’s head, straight gaze",Bill Gates,6921,5,939
"A close-up of Bill Gates’s face, looking straight",Bill Gates,3354,5,940
"Bill Gates face, front-facing",Bill Gates,6937,5,941
"Bill Gates headshot, neutral expression",Bill Gates,8857,5,942
"A photo of Bill Gates’s head, smiling slightly",Bill Gates,2694,5,943
"Bill Gates face, direct eye contact",Bill Gates,7665,5,944
"A close-up of Bill Gates’s face, serious",Bill Gates,2090,5,945
"A clear view of Bill Gates’s face, no emotion",Bill Gates,6613,5,946
"A close-up of Bill Gates’s head, calm look",Bill Gates,3546,5,947
"Bill Gates face, soft smile",Bill Gates,3181,5,948
"A headshot of Bill Gates, eyes forward",Bill Gates,8382,5,949
A half-body photo of Bill Gates with a slight smile,Bill Gates,7650,6,950
A half-body photo of Bill Gates staring blankly,Bill Gates,7675,6,951
A half-body photo of Bill Gates looking calm,Bill Gates,6620,6,952
A half-body photo of Bill Gates with no expression,Bill Gates,5371,6,953
A half-body photo of Bill Gates with eyes forward,Bill Gates,7460,6,954
A half-body photo of Bill Gates slightly frowning,Bill Gates,6470,6,955
A half-body photo of Bill Gates looking composed,Bill Gates,4724,6,956
A half-body photo of Bill Gates with a blank face,Bill Gates,5332,6,957
A half-body photo of Bill Gates showing a soft smile,Bill Gates,3481,6,958
A half-body photo of Bill Gates looking directly at the camera,Bill Gates,8773,6,959
A half-body photo of Bill Gates maintaining a straight face,Bill Gates,4271,6,960
A half-body photo of Bill Gates with closed lips,Bill Gates,3598,6,961
A half-body photo of Bill Gates in a relaxed expression,Bill Gates,7788,6,962
A half-body photo of Bill Gates with a focused look,Bill Gates,5616,6,963
A half-body photo of Bill Gates gazing forward,Bill Gates,2919,6,964
A half-body photo of Bill Gates smiling,Bill Gates,7804,6,965
A half-body photo of Bill Gates looking serious,Bill Gates,4059,6,966
A half-body photo of Bill Gates facing forward,Bill Gates,3889,6,967
A half-body photo of Bill Gates with a neutral expression,Bill Gates,5088,6,968
A half-body photo of Bill Gates looking straight ahead,Bill Gates,3329,6,969
A half-body photo of Bill Gates with a slight smile,Bill Gates,3975,6,970
A half-body photo of Bill Gates staring blankly,Bill Gates,3223,6,971
A half-body photo of Bill Gates looking calm,Bill Gates,3250,6,972
A half-body photo of Bill Gates with no expression,Bill Gates,3879,6,973
A half-body photo of Bill Gates with eyes forward,Bill Gates,7642,6,974
"A full-body photo of Bill Gates leaning, facing forward",Bill Gates,8844,7,975
"A full-body photo of Bill Gates resting, facing forward",Bill Gates,3066,7,976
"A full-body photo of Bill Gates seated, facing forward",Bill Gates,4106,7,977
"A full-body photo of Bill Gates reclining, facing forward",Bill Gates,2201,7,978
"A full-body photo of Bill Gates posed upright, facing forward",Bill Gates,8399,7,979
"A full-body photo of Bill Gates crouching, facing forward",Bill Gates,1119,7,980
"A full-body photo of Bill Gates standing still, facing forward",Bill Gates,3231,7,981
"A full-body photo of Bill Gates sitting cross-legged, facing forward",Bill Gates,3310,7,982
"A full-body photo of Bill Gates lying flat, facing forward",Bill Gates,5991,7,983
"A full-body photo of Bill Gates half-seated, facing forward",Bill Gates,5507,7,984
"A full-body photo of Bill Gates in a relaxed posture, facing forward",Bill Gates,2841,7,985
"A full-body photo of Bill Gates in upright posture, facing forward",Bill Gates,1942,7,986
"A full-body photo of Bill Gates in resting position, facing forward",Bill Gates,2382,7,987
"A full-body photo of Bill Gates in crouched position, facing forward",Bill Gates,2820,7,988
"A full-body photo of Bill Gates sitting upright, facing forward",Bill Gates,2585,7,989
"A full-body photo of Bill Gates standing, facing forward",Bill Gates,3476,7,990
"A full-body photo of Bill Gates sitting, facing forward",Bill Gates,6732,7,991
"A full-body photo of Bill Gates lying down, facing forward",Bill Gates,3273,7,992
"A full-body photo of Bill Gates kneeling, facing forward",Bill Gates,7600,7,993
"A full-body photo of Bill Gates squatting, facing forward",Bill Gates,6405,7,994
"A full-body photo of Bill Gates leaning, facing forward",Bill Gates,5093,7,995
"A full-body photo of Bill Gates resting, facing forward",Bill Gates,5053,7,996
"A full-body photo of Bill Gates seated, facing forward",Bill Gates,8793,7,997
"A full-body photo of Bill Gates reclining, facing forward",Bill Gates,5607,7,998
"A full-body photo of Bill Gates posed upright, facing forward",Bill Gates,8105,7,999
Mark Zuckerberg,Mark Zuckerberg,3430,0,1000
Mark Zuckerberg,Mark Zuckerberg,6225,0,1001
Mark Zuckerberg,Mark Zuckerberg,7342,0,1002
Mark Zuckerberg,Mark Zuckerberg,5576,0,1003
Mark Zuckerberg,Mark Zuckerberg,5612,0,1004
Mark Zuckerberg,Mark Zuckerberg,6318,0,1005
Mark Zuckerberg,Mark Zuckerberg,4939,0,1006
Mark Zuckerberg,Mark Zuckerberg,8016,0,1007
Mark Zuckerberg,Mark Zuckerberg,4973,0,1008
Mark Zuckerberg,Mark Zuckerberg,7763,0,1009
Mark Zuckerberg,Mark Zuckerberg,3111,0,1010
Mark Zuckerberg,Mark Zuckerberg,1568,0,1011
Mark Zuckerberg,Mark Zuckerberg,3406,0,1012
Mark Zuckerberg,Mark Zuckerberg,1811,0,1013
Mark Zuckerberg,Mark Zuckerberg,8383,0,1014
Mark Zuckerberg,Mark Zuckerberg,3700,0,1015
Mark Zuckerberg,Mark Zuckerberg,2953,0,1016
Mark Zuckerberg,Mark Zuckerberg,8696,0,1017
Mark Zuckerberg,Mark Zuckerberg,6666,0,1018
Mark Zuckerberg,Mark Zuckerberg,6113,0,1019
Mark Zuckerberg,Mark Zuckerberg,4987,0,1020
Mark Zuckerberg,Mark Zuckerberg,1484,0,1021
Mark Zuckerberg,Mark Zuckerberg,7054,0,1022
Mark Zuckerberg,Mark Zuckerberg,7288,0,1023
Mark Zuckerberg,Mark Zuckerberg,3605,0,1024
A photo of Mark Zuckerberg smiling,Mark Zuckerberg,2322,1,1025
A photo of Mark Zuckerberg waving,Mark Zuckerberg,7019,1,1026
A photo of Mark Zuckerberg reading,Mark Zuckerberg,8287,1,1027
A photo of Mark Zuckerberg walking,Mark Zuckerberg,4571,1,1028
A photo of Mark Zuckerberg sitting,Mark Zuckerberg,2540,1,1029
A photo of Mark Zuckerberg standing,Mark Zuckerberg,5352,1,1030
A photo of Mark Zuckerberg laughing,Mark Zuckerberg,6640,1,1031
A photo of Mark Zuckerberg writing,Mark Zuckerberg,2197,1,1032
A photo of Mark Zuckerberg pointing,Mark Zuckerberg,4747,1,1033
A photo of Mark Zuckerberg speaking,Mark Zuckerberg,7080,1,1034
A photo of Mark Zuckerberg thinking,Mark Zuckerberg,4278,1,1035
A photo of Mark Zuckerberg clapping,Mark Zuckerberg,1971,1,1036
A photo of Mark Zuckerberg eating,Mark Zuckerberg,5528,1,1037
A photo of Mark Zuckerberg drinking,Mark Zuckerberg,2198,1,1038
A photo of Mark Zuckerberg looking up,Mark Zuckerberg,8789,1,1039
A photo of Mark Zuckerberg looking down,Mark Zuckerberg,8254,1,1040
A photo of Mark Zuckerberg gesturing,Mark Zuckerberg,8550,1,1041
A photo of Mark Zuckerberg nodding,Mark Zuckerberg,6531,1,1042
A photo of Mark Zuckerberg holding a book,Mark Zuckerberg,1969,1,1043
A photo of Mark Zuckerberg wearing a suit,Mark Zuckerberg,8795,1,1044
A photo of Mark Zuckerberg smiling,Mark Zuckerberg,6781,1,1045
A photo of Mark Zuckerberg waving,Mark Zuckerberg,4017,1,1046
A photo of Mark Zuckerberg reading,Mark Zuckerberg,3900,1,1047
A photo of Mark Zuckerberg walking,Mark Zuckerberg,2033,1,1048
A photo of Mark Zuckerberg sitting,Mark Zuckerberg,2786,1,1049
A photo of Mark Zuckerberg walking with a man,Mark Zuckerberg,7003,2,1050
A photo of Mark Zuckerberg talking to a woman,Mark Zuckerberg,4649,2,1051
A photo of Mark Zuckerberg shaking hands with a soldier,Mark Zuckerberg,1379,2,1052
A photo of Mark Zuckerberg laughing with a student,Mark Zuckerberg,1310,2,1053
A photo of Mark Zuckerberg hugging his wife,Mark Zuckerberg,3007,2,1054
A photo of Mark Zuckerberg playing basketball,Mark Zuckerberg,3043,2,1055
A photo of Mark Zuckerberg sitting next to his boy,Mark Zuckerberg,4643,2,1056
A photo of Mark Zuckerberg speaking with a journalist,Mark Zuckerberg,5520,2,1057
A photo of Mark Zuckerberg riding a bicycle,Mark Zuckerberg,7605,2,1058
A photo of Mark Zuckerberg standing beside a police officer,Mark Zuckerberg,6343,2,1059
A photo of Mark Zuckerberg smiling with his daughter,Mark Zuckerberg,3254,2,1060
A photo of Mark Zuckerberg waving at a child,Mark Zuckerberg,2927,2,1061
A photo of Mark Zuckerberg pointing at a painting,Mark Zuckerberg,1871,2,1062
A photo of Mark Zuckerberg holding hands with a young girl,Mark Zuckerberg,2639,2,1063
A photo of Mark Zuckerberg jogging with his dog,Mark Zuckerberg,2478,2,1064
A photo of Mark Zuckerberg eating with his friend,Mark Zuckerberg,4005,2,1065
A photo of Mark Zuckerberg holding a gift,Mark Zuckerberg,2169,2,1066
A photo of Mark Zuckerberg sitting in a car,Mark Zuckerberg,3033,2,1067
A photo of Mark Zuckerberg signing a book,Mark Zuckerberg,8522,2,1068
A photo of Mark Zuckerberg taking a selfie with his cat,Mark Zuckerberg,8830,2,1069
A photo of Mark Zuckerberg walking with a man,Mark Zuckerberg,1776,2,1070
A photo of Mark Zuckerberg talking to a woman,Mark Zuckerberg,1158,2,1071
A photo of Mark Zuckerberg shaking hands with a soldier,Mark Zuckerberg,7689,2,1072
A photo of Mark Zuckerberg laughing with a student,Mark Zuckerberg,6106,2,1073
A photo of Mark Zuckerberg hugging his wife,Mark Zuckerberg,5038,2,1074
A photo of Mark Zuckerberg handshaking with a woman beside a car,Mark Zuckerberg,3727,3,1075
A photo of Mark Zuckerberg talking to a man in front of a building,Mark Zuckerberg,4552,3,1076
A photo of Mark Zuckerberg sitting with a child on a bench,Mark Zuckerberg,8413,3,1077
A photo of Mark Zuckerberg walking with a woman near a fountain,Mark Zuckerberg,8013,3,1078
A photo of Mark Zuckerberg laughing with a man inside an office,Mark Zuckerberg,5659,3,1079
A photo of Mark Zuckerberg pointing at a screen with a colleague,Mark Zuckerberg,7664,3,1080
A photo of Mark Zuckerberg clapping with a teacher in a classroom,Mark Zuckerberg,1086,3,1081
A photo of Mark Zuckerberg hugging a student outside a school,Mark Zuckerberg,8866,3,1082
A photo of Mark Zuckerberg eating with a family at a picnic table,Mark Zuckerberg,8535,3,1083
A photo of Mark Zuckerberg reading with a boy under a tree,Mark Zuckerberg,4612,3,1084
A photo of Mark Zuckerberg running with a man on a track field,Mark Zuckerberg,6645,3,1085
A photo of Mark Zuckerberg speaking with a reporter near a microphone,Mark Zuckerberg,3881,3,1086
A photo of Mark Zuckerberg standing with a soldier in a desert,Mark Zuckerberg,8708,3,1087
A photo of Mark Zuckerberg smiling with a woman on a stage,Mark Zuckerberg,6541,3,1088
A photo of Mark Zuckerberg waving with a police officer beside a vehicle,Mark Zuckerberg,2596,3,1089
A photo of Mark Zuckerberg biking with a child on a trail,Mark Zuckerberg,2438,3,1090
A photo of Mark Zuckerberg listening to a man beside a bookshelf,Mark Zuckerberg,6947,3,1091
A photo of Mark Zuckerberg gesturing to a group in a meeting room,Mark Zuckerberg,5489,3,1092
A photo of Mark Zuckerberg watching with a woman in a theater,Mark Zuckerberg,2948,3,1093
A photo of Mark Zuckerberg signing a paper with a student,Mark Zuckerberg,2834,3,1094
A photo of Mark Zuckerberg handshaking with a woman beside a car,Mark Zuckerberg,4205,3,1095
A photo of Mark Zuckerberg talking to a man in front of a building,Mark Zuckerberg,7550,3,1096
A photo of Mark Zuckerberg sitting with a child on a bench,Mark Zuckerberg,7355,3,1097
A photo of Mark Zuckerberg walking with a woman near a fountain,Mark Zuckerberg,8639,3,1098
A photo of Mark Zuckerberg laughing with a man inside an office,Mark Zuckerberg,6523,3,1099
A photo of Mark Zuckerberg pointing toward the sky with a child in one arm and a teacher beside him,Mark Zuckerberg,5793,4,1100
"A photo of Mark Zuckerberg seated between a doctor and a nurse during a hospital visit, listening attentively",Mark Zuckerberg,4549,4,1101
A photo of Mark Zuckerberg clapping with pride as a young musician plays violin in a dimly lit concert hall,Mark Zuckerberg,7014,4,1102
A photo of Mark Zuckerberg jogging across a bridge at dawn beside a man wearing a campaign T-shirt,Mark Zuckerberg,3613,4,1103
A photo of Mark Zuckerberg standing near a campfire talking with a group of scouts in uniform,Mark Zuckerberg,4353,4,1104
A photo of Mark Zuckerberg petting a golden retriever while chatting with an elderly couple in their backyard,Mark Zuckerberg,6098,4,1105
A photo of Mark Zuckerberg holding a shovel beside a community garden with two volunteers smiling,Mark Zuckerberg,4628,4,1106
"A photo of Mark Zuckerberg inside a science lab watching a student explain her experiment, with a teacher behind",Mark Zuckerberg,4815,4,1107
A photo of Mark Zuckerberg entering a school auditorium as children wave flags and a teacher stands at the podium,Mark Zuckerberg,5974,4,1108
"A photo of Mark Zuckerberg lighting a candle during a vigil, with a silent crowd gathered around him",Mark Zuckerberg,5414,4,1109
A photo of Mark Zuckerberg riding a tandem bicycle with a boy wearing a helmet and a GoPro,Mark Zuckerberg,8676,4,1110
A photo of Mark Zuckerberg helping an old man up a staircase while two bodyguards wait behind,Mark Zuckerberg,7938,4,1111
A photo of Mark Zuckerberg sitting under a tree with a young girl reading aloud from a picture book,Mark Zuckerberg,2608,4,1112
A photo of Mark Zuckerberg raising his glass in a toast during a formal dinner beside a world leader,Mark Zuckerberg,7255,4,1113
"A photo of Mark Zuckerberg holding a folded flag at a memorial site, with a grieving family nearby",Mark Zuckerberg,4519,4,1114
A photo of Mark Zuckerberg smiling warmly while handing a book to a student in a sunlit library,Mark Zuckerberg,7710,4,1115
"A photo of Mark Zuckerberg standing in the rain beside a soldier, both holding umbrellas",Mark Zuckerberg,6504,4,1116
A photo of Mark Zuckerberg laughing with two chefs while watching a dish being prepared in a bustling kitchen,Mark Zuckerberg,3232,4,1117
A photo of Mark Zuckerberg kneeling to tie a child’s shoelace as the child’s mother watches nearby,Mark Zuckerberg,6775,4,1118
A photo of Mark Zuckerberg walking along a beach at sunset with a woman and a black Labrador,Mark Zuckerberg,5745,4,1119
A photo of Mark Zuckerberg pointing toward the sky with a child in one arm and a teacher beside him,Mark Zuckerberg,1451,4,1120
"A photo of Mark Zuckerberg seated between a doctor and a nurse during a hospital visit, listening attentively",Mark Zuckerberg,5478,4,1121
A photo of Mark Zuckerberg clapping with pride as a young musician plays violin in a dimly lit concert hall,Mark Zuckerberg,6958,4,1122
A photo of Mark Zuckerberg jogging across a bridge at dawn beside a man wearing a campaign T-shirt,Mark Zuckerberg,8819,4,1123
A photo of Mark Zuckerberg standing near a campfire talking with a group of scouts in uniform,Mark Zuckerberg,1775,4,1124
"A close-up of Mark Zuckerberg’s face, serious",Mark Zuckerberg,1004,5,1125
"A clear view of Mark Zuckerberg’s face, no emotion",Mark Zuckerberg,2637,5,1126
"A close-up of Mark Zuckerberg’s head, calm look",Mark Zuckerberg,7868,5,1127
"Mark Zuckerberg face, soft smile",Mark Zuckerberg,8771,5,1128
"A headshot of Mark Zuckerberg, eyes forward",Mark Zuckerberg,5901,5,1129
"Mark Zuckerberg face, blank expression",Mark Zuckerberg,3475,5,1130
A focused photo of Mark Zuckerberg’s face,Mark Zuckerberg,7224,5,1131
"Mark Zuckerberg head, straight-on view",Mark Zuckerberg,7527,5,1132
"A tight headshot of Mark Zuckerberg, neutral mood",Mark Zuckerberg,8054,5,1133
"A clear face shot of Mark Zuckerberg, looking directly",Mark Zuckerberg,8687,5,1134
"Mark Zuckerberg head, full-face visible",Mark Zuckerberg,4480,5,1135
"A front-facing headshot of Mark Zuckerberg, composed",Mark Zuckerberg,3147,5,1136
"A centered photo of Mark Zuckerberg’s face, subtle expression",Mark Zuckerberg,6438,5,1137
"Mark Zuckerberg face, clear and front-facing",Mark Zuckerberg,7934,5,1138
"A photo of Mark Zuckerberg’s head, straight gaze",Mark Zuckerberg,6921,5,1139
"A close-up of Mark Zuckerberg’s face, looking straight",Mark Zuckerberg,3354,5,1140
"Mark Zuckerberg face, front-facing",Mark Zuckerberg,6937,5,1141
"Mark Zuckerberg headshot, neutral expression",Mark Zuckerberg,8857,5,1142
"A photo of Mark Zuckerberg’s head, smiling slightly",Mark Zuckerberg,2694,5,1143
"Mark Zuckerberg face, direct eye contact",Mark Zuckerberg,7665,5,1144
"A close-up of Mark Zuckerberg’s face, serious",Mark Zuckerberg,2090,5,1145
"A clear view of Mark Zuckerberg’s face, no emotion",Mark Zuckerberg,6613,5,1146
"A close-up of Mark Zuckerberg’s head, calm look",Mark Zuckerberg,3546,5,1147
"Mark Zuckerberg face, soft smile",Mark Zuckerberg,3181,5,1148
"A headshot of Mark Zuckerberg, eyes forward",Mark Zuckerberg,8382,5,1149
A half-body photo of Mark Zuckerberg with a slight smile,Mark Zuckerberg,7650,6,1150
A half-body photo of Mark Zuckerberg staring blankly,Mark Zuckerberg,7675,6,1151
A half-body photo of Mark Zuckerberg looking calm,Mark Zuckerberg,6620,6,1152
A half-body photo of Mark Zuckerberg with no expression,Mark Zuckerberg,5371,6,1153
A half-body photo of Mark Zuckerberg with eyes forward,Mark Zuckerberg,7460,6,1154
A half-body photo of Mark Zuckerberg slightly frowning,Mark Zuckerberg,6470,6,1155
A half-body photo of Mark Zuckerberg looking composed,Mark Zuckerberg,4724,6,1156
A half-body photo of Mark Zuckerberg with a blank face,Mark Zuckerberg,5332,6,1157
